,title,population,visiting_status,datetime_of_data,full_address,bop_region,county,judicial_district,gender
1552,FCI PETERSBURG LOW,676,Not Suspended,2024-03-21 10:28:02 PDT,"1100 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
1553,FDC PHILADELPHIA,952,Not Suspended,2024-03-21 10:28:18 PDT,"700 ARCH STREET, PHILADELPHIA, PA 19106",Northeast Region,Philadelphia,Eastern Pennsylvania,Male and Female
1554,FCI PHOENIX,"1,173",Not Suspended,2024-03-21 10:28:35 PDT,"37900 N 45TH AVE, PHOENIX, AZ 85086",Western Region,Maricopa,Arizona,Male and Female
1555,FCI POLLOCK,"1,530",Not Suspended,2024-03-21 10:28:51 PDT,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,GRANT,Western Louisiana,Male
1556,USP POLLOCK,"1,108",Not Suspended,2024-03-21 10:29:11 PDT,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,Grant,Western Louisiana,Male
1557,FCI RAY BROOK,661,Not Suspended,2024-03-21 10:29:28 PDT,"128 RAY BROOK ROAD, RAY BROOK, NY 12977",Northeast Region,Essex,Northern New York,Male
1558,FMC ROCHESTER,649,Not Suspended,2024-03-21 10:29:46 PDT,"2110 EAST CENTER STREET, ROCHESTER, MN 55904",North Central Region,OLMSTED,Minnesota,Male
1559,FCI SAFFORD,639,Not Suspended,2024-03-21 10:30:02 PDT,"1529 WEST HIGHWAY 366, SAFFORD, AZ 85546",Western Region,Graham,Arizona,Male
1560,MCC SAN DIEGO,642,Not Suspended,2024-03-21 10:30:21 PDT,"808 UNION STREET, SAN DIEGO, CA 92101",Western Region,San Diego,Southern California,Male and Female
1561,FCI SANDSTONE,"1,114",Not Suspended,2024-03-21 10:30:37 PDT,"2300 COUNTY RD 29, SANDSTONE, MN 55072",North Central Region,Pine,Minnesota,Male
1562,FCI SCHUYLKILL,"1,102",Not Suspended,2024-03-21 10:30:57 PDT,"INTERSTATE 81 & 901 W, MINERSVILLE, PA 17954",Northeast Region,SCHUYLKILL,Middle Pennsylvania,Male
1563,FCI SEAGOVILLE,"1,711",Not Suspended,2024-03-21 10:31:14 PDT,"2113 NORTH HWY 175, SEAGOVILLE, TX 75159",South Central Region,Dallas,Northern Texas,Male
1564,FDC SEATAC,807,Not Suspended,2024-03-21 10:31:32 PDT,"2425 SOUTH 200TH STREET, SEATTLE, WA 98198",Western Region,King,Western Washington,Male and Female
1565,FCI SHERIDAN,"1,601",Not Suspended,2024-03-21 10:31:48 PDT,"27072 BALLSTON ROAD, SHERIDAN, OR 97378",Western Region,YAMHILL,Oregon,Male
1566,MCFP SPRINGFIELD,975,Not Suspended,2024-03-21 10:32:06 PDT,"1900 W. SUNSHINE ST, SPRINGFIELD, MO 65807",North Central Region,GREENE,Western Missouri,Male
1567,FCI TALLADEGA,"1,134",Not Suspended,2024-03-21 10:32:21 PDT,"565 EAST RENFROE ROAD, TALLADEGA, AL 35160",Southeast Region,Talladega,Northern Alabama,Male
1568,FCI TALLAHASSEE,"1,034",Not Suspended,2024-03-21 10:32:40 PDT,"501 CAPITAL CIRCLE, NE, TALLAHASSEE, FL 32301",Southeast Region,Leon,Northern Florida,Male and Female
1569,FCI TERMINAL ISLAND,925,Not Suspended,2024-03-21 10:32:56 PDT,"1299 SEASIDE AVENUE, SAN PEDRO, CA 90731",Western Region,LOS ANGELES,Central California,Male
1570,FCI TERRE HAUTE,"1,365",Not Suspended,2024-03-21 10:33:13 PDT,"4200 BUREAU ROAD NORTH, TERRE HAUTE, IN 47808",North Central Region,VIGO,Southern Indiana,Male
1571,USP TERRE HAUTE,"1,231",Not Suspended,2024-03-21 10:33:29 PDT,"4700 BUREAU ROAD SOUTH, TERRE HAUTE, IN 47802",North Central Region,VIGO,Southern Indiana,Male
1572,FCI TEXARKANA,"1,212",Not Suspended,2024-03-21 10:33:48 PDT,"4001 LEOPARD DRIVE, TEXARKANA, TX 75501",South Central Region,Bowie,Eastern Texas,Male
1573,FCI THOMSON,"1,940",Not Suspended,2024-03-21 10:34:05 PDT,"1100 ONE MILE ROAD, THOMSON, IL 61285",North Central Region,CARROLL,Northern District of Illinois,Male
1574,FCI THREE RIVERS,"1,278",Not Suspended,2024-03-21 10:34:21 PDT,"US HIGHWAY 72 WEST, THREE RIVERS, TX 78071",South Central Region,Live Oak,Southern Texas,Male
1575,FCI TUCSON,372,Not Suspended,2024-03-21 10:34:37 PDT,"8901 S. WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male and Female
1576,USP TUCSON,"1,324",Not Suspended,2024-03-21 10:34:55 PDT,"9300 SOUTH WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male
1577,FCI VICTORVILLE MEDIUM I,"1,575",Suspended,2024-03-21 10:35:11 PDT,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male and Female
1578,FCI VICTORVILLE MEDIUM II,"1,453",Not Suspended,2024-03-21 10:35:29 PDT,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male
1579,USP VICTORVILLE,"1,270",Not Suspended,2024-03-21 10:35:45 PDT,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,San Bernardino,Central California,Male
1580,FCI WASECA,798,Not Suspended,2024-03-21 10:36:01 PDT,"1000 UNIVERSITY DR, SW, WASECA, MN 56093",North Central Region,Waseca,Minnesota,Female
1581,FCI WILLIAMSBURG,"1,185",Not Suspended,2024-03-21 10:36:17 PDT,"8301 HIGHWAY 521, SALTERS, SC 29590",Southeast Region,Williamsburg,South Carolina,Male
1582,FPC YANKTON,414,Not Suspended,2024-03-21 10:36:34 PDT,"1016 DOUGLAS AVENUE, YANKTON, SD 57078",North Central Region,Yankton,South Dakota,Male
1583,FCI YAZOO CITY MEDIUM,"1,279",Not Suspended,2024-03-21 10:36:50 PDT,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
1584,FCI YAZOO CITY LOW,"1,366",Not Suspended,2024-03-21 10:37:06 PDT,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
1585,USP YAZOO CITY,"1,492",Not Suspended,2024-03-21 10:37:22 PDT,"2225 HALEY BARBOUR PKWY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
1586,FPC ALDERSON,713,Not Suspended,2024-01-11 12:07:46 PST,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Mid-Atlantic Region,GREENBRIER,Southern West Virginia,Female
1587,FCI ALICEVILLE,"1,583",Not Suspended,2024-01-11 12:08:02 PST,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Southeast Region,PICKENS,Northern District of Alabama,Female
1588,FCI ALLENWOOD LOW,"1,016",Not Suspended,2024-01-11 12:08:18 PST,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,UNION,Middle Pennsylvania,Male
1589,FCI ALLENWOOD MEDIUM,"1,287",Not Suspended,2024-01-11 12:08:34 PST,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male
1590,USP ALLENWOOD,304,Not Suspended,2024-01-11 12:08:50 PST,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male
1591,FCI ASHLAND,"1,313",Not Suspended,2024-01-11 12:09:05 PST,"ST. ROUTE 716, ASHLAND, KY 41105",Mid-Atlantic Region,BOYD,Eastern Kentucky,Male
1592,USP ATLANTA,"1,794",Not Suspended,2024-01-11 12:09:20 PST,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Southeast Region,FULTON,Northern Georgia,Male
1593,USP ATWATER,"1,174",Not Suspended,2024-01-11 12:09:36 PST,"1 FEDERAL WAY, ATWATER, CA 95301",Western Region,MERCED,Eastern California,Male
1594,FCI BASTROP,"1,083",Not Suspended,2024-01-11 12:09:52 PST,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",South Central Region,Bastrop,Western Texas,Male
1595,FCI BEAUMONT LOW,"2,008",Not Suspended,2024-01-11 12:10:07 PST,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
1596,FCI BEAUMONT MEDIUM,"1,663",Not Suspended,2024-01-11 12:10:23 PST,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
1597,USP BEAUMONT,"1,118",Not Suspended,2024-01-11 12:10:38 PST,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
1598,FCI BECKLEY,"1,706",Suspended,2024-01-11 12:10:54 PST,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Mid-Atlantic Region,Raleigh,Southern West Virginia,Male
1599,FCI BENNETTSVILLE,"1,633",Not Suspended,2024-01-11 12:11:10 PST,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Southeast Region,Marlboro,South Carolina,Male
1600,FCI BERLIN,769,Not Suspended,2024-01-11 12:11:26 PST,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Northeast Region,COOS COUNTY,District of New Hampshire,Male
1601,USP BIG SANDY,"1,398",Not Suspended,2024-01-11 12:11:42 PST,"1197 AIRPORT ROAD, INEZ, KY 41224",Mid-Atlantic Region,Martin,Eastern Kentucky,Male
1602,FCI BIG SPRING,"1,071",Not Suspended,2024-01-11 12:11:58 PST,"1900 SIMLER AVE, BIG SPRING, TX 79720",South Central Region,HOWARD,Northern Texas,Male
1603,MDC BROOKLYN,"1,544",Not Suspended,2024-01-11 12:12:13 PST,"80 29TH STREET, BROOKLYN, NY 11232",Northeast Region,KINGS,Eastern New York,Male and Female
1604,FPC BRYAN,703,Not Suspended,2024-01-11 12:12:29 PST,"1100 URSULINE AVENUE, BRYAN, TX 77803",South Central Region,BRAZOS,Southern Texas,Female
1605,FCI BUTNER MEDIUM II,"1,443",Not Suspended,2024-01-11 12:12:44 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
1606,FCI BUTNER LOW,955,Not Suspended,2024-01-11 12:13:00 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
1607,FCI BUTNER MEDIUM I,879,Not Suspended,2024-01-11 12:13:16 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
1608,FMC BUTNER,834,Not Suspended,2024-01-11 12:13:33 PST,"OLD N. CAROLINA HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,Granville,Eastern North Carolina,Male
1609,USP CANAAN,"1,259",Suspended,2024-01-11 12:13:48 PST,"3057 ERIC J. WILLIAMS, WAYMART, PA 18472",Northeast Region,WAYNE,Middle Pennsylvania,Male
1610,FMC CARSWELL,979,Not Suspended,2024-01-11 12:14:03 PST,"NAVAL AIR STATION, FORT WORTH, TX 76127",South Central Region,TARRANT,Northern Texas,Female
1611,MCC CHICAGO,492,Not Suspended,2024-01-11 12:14:19 PST,"71 WEST VAN BUREN STREET, CHICAGO, IL 60605",North Central Region,COOK,Northern Illinois,Male and Female
1612,FCI COLEMAN LOW,"2,028",Not Suspended,2024-01-11 12:14:34 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
1613,FCI COLEMAN MEDIUM,"1,565",Not Suspended,2024-01-11 12:14:50 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
1614,USP COLEMAN II,"1,189",Not Suspended,2024-01-11 12:15:06 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
1615,USP COLEMAN I,"1,407",Not Suspended,2024-01-11 12:15:21 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
1616,FCI CUMBERLAND,"1,053",Not Suspended,2024-01-11 12:15:37 PST,"14601 BURBRIDGE RD SE, CUMBERLAND, MD 21502",Mid-Atlantic Region,Allegany,Maryland,Male
1617,FCI DANBURY,"1,007",Not Suspended,2024-01-11 12:15:52 PST,"33 1/2 PEMBROKE STATION, DANBURY, CT 06811",Northeast Region,FAIRFIELD,Connecticut,Male and Female
1618,FMC DEVENS,901,Not Suspended,2024-01-11 12:16:08 PST,"42 PATTON ROAD, AYER, MA 01432",Northeast Region,MIDDLESEX,Massachusetts,Male
1619,FCI DUBLIN,704,Not Suspended,2024-01-11 12:16:23 PST,"5701 8TH ST - CAMP PARKS, DUBLIN, CA 94568",Western Region,Alameda,Northern California,Female
1620,FPC DULUTH,436,Not Suspended,2024-01-11 12:16:39 PST,"4464 RALSTON DRIVE, DULUTH, MN 55811",North Central Region,SAINT LOUIS,Minnesota,Male
1621,FCI EDGEFIELD,"2,031",Not Suspended,2024-01-11 12:16:54 PST,"501 GARY HILL ROAD, EDGEFIELD, SC 29824",Southeast Region,Edgefield,South Carolina,Male
1622,FCI EL RENO,"1,222",Not Suspended,2024-01-11 12:17:10 PST,"4205 HIGHWAY 66 WEST, EL RENO, OK 73036",South Central Region,CANADIAN,Western Oklahoma,Male
1623,FCI ELKTON,"1,902",Not Suspended,2024-01-11 12:17:26 PST,"8730 SCROGGS ROAD, LISBON, OH 44432",Northeast Region,COLUMBIANA,Northern Ohio,Male
1624,FCI ENGLEWOOD,904,Not Suspended,2024-01-11 12:17:41 PST,"9595 WEST QUINCY AVENUE, LITTLETON, CO 80123",North Central Region,JEFFERSON,Colorado,Male
1625,FCI ESTILL,58,Not Suspended,2024-01-11 12:17:57 PST,"100 PRISON ROAD, ESTILL, SC 29918",Southeast Region,HAMPTON,South Carolina,Male
1626,FCI FAIRTON,801,Not Suspended,2024-01-11 12:18:13 PST,"655 FAIRTON-MILLVILLE ROAD, FAIRTON, NJ 08320",Northeast Region,Cumberland,New Jersey,Male
1627,FCI FLORENCE,"1,240",Not Suspended,2024-01-11 12:18:28 PST,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
1628,USP FLORENCE ADMAX,334,Not Suspended,2024-01-11 12:18:44 PST,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
1629,USP FLORENCE - HIGH,923,Suspended,2024-01-11 12:19:00 PST,"5880 HWY 67 S, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
1630,FCI FORREST CITY MEDIUM,"1,672",Not Suspended,2024-01-11 12:19:15 PST,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male
1631,FCI FORREST CITY LOW,"1,810",Not Suspended,2024-01-11 12:19:31 PST,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male
1632,FCI FORT DIX,"3,810",Not Suspended,2024-01-11 12:19:46 PST,"5756 HARTFORD &, JOINT BASE MDL, NJ 08640",Northeast Region,BURLINGTON,New Jersey,Male
1633,FMC FORT WORTH,"1,462",Not Suspended,2024-01-11 12:20:02 PST,"3150 HORTON ROAD, FORT WORTH, TX 76119",South Central Region,Tarrant,Northern Texas,Male
1634,FCI GILMER,"1,668",Not Suspended,2024-01-11 12:20:17 PST,"201 FCI LANE, GLENVILLE, WV 26351",Mid-Atlantic Region,GILMER,Northern West Virginia,Male
1635,FCI GREENVILLE,"1,300",Not Suspended,2024-01-11 12:20:33 PST,"100 U.S. HWY 40, GREENVILLE, IL 62246",North Central Region,Bond,Southern Illinois,Male and Female
1636,MDC GUAYNABO,"1,164",Suspended,2024-01-11 12:20:49 PST,"652 CARRETERA 28, GUAYNABO, PR 00965",Southeast Region,GUAYNABO,"Puerto Rico, U.S. Virgin Islands",Male and Female
1637,FCI HAZELTON,"2,016",Not Suspended,2024-01-11 12:21:04 PST,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male and Female
1638,USP HAZELTON,"1,468",Not Suspended,2024-01-11 12:21:19 PST,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male
1639,FCI HERLONG,"1,477",Not Suspended,2024-01-11 12:21:35 PST,"741-925 ACCESS ROAD A-25, HERLONG, CA 96113",Western Region,Lassen,Eastern California,Male
1640,FDC HONOLULU,234,Not Suspended,2024-01-11 12:21:51 PST,"351 ELLIOTT ST, HONOLULU, HI 96819",Western Region,Honolulu,Hawaii,Male and Female
1641,FDC HOUSTON,684,Not Suspended,2024-01-11 12:22:06 PST,"1200 TEXAS AVENUE, HOUSTON, TX 77002",South Central Region,Harris,Southern Texas,Male and Female
1642,FCI JESUP,"1,644",Not Suspended,2024-01-11 12:22:22 PST,"2600 HIGHWAY 301 SOUTH, JESUP, GA 31599",Southeast Region,,Southern Georgia,Male
1643,FCI LA TUNA,727,Not Suspended,2024-01-11 12:22:37 PST,"8500 DONIPHAN ROAD, ANTHONY, TX 79821",South Central Region,EL PASO,Western Texas,Male
1644,USP LEAVENWORTH,"1,968",Not Suspended,2024-01-11 12:22:54 PST,"1300 METROPOLITAN, LEAVENWORTH, KS 66048",North Central Region,Leavenworth,Kansas,Male
1645,USP LEE,"1,480",Not Suspended,2024-01-11 12:23:10 PST,"LEE COUNTY INDUSTRIAL PARK, PENNINGTON GAP, VA 24277",Mid-Atlantic Region,Lee,Western Virginia,Male
1646,USP LEWISBURG,"1,065",Not Suspended,2024-01-11 12:23:25 PST,"2400 ROBERT F. MILLER DRIVE, LEWISBURG, PA 17837",Northeast Region,UNION,Middle Pennsylvania,Male
1647,FMC LEXINGTON,"1,263",Not Suspended,2024-01-11 12:23:41 PST,"3301 LEESTOWN ROAD, LEXINGTON, KY 40511",Mid-Atlantic Region,Fayette,Eastern Kentucky,Male and Female
1648,FCI LOMPOC,901,Not Suspended,2024-01-11 12:23:57 PST,"3600 GUARD ROAD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male
1649,USP LOMPOC,"2,185",Not Suspended,2024-01-11 12:24:12 PST,"3901 KLEIN BLVD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male
1650,FCI LORETTO,806,Not Suspended,2024-01-11 12:24:28 PST,"772 SAINT JOSEPH ST., LORETTO, PA 15940",Northeast Region,CAMBRIA,Western Pennsylvania,Male
1651,MDC LOS ANGELES,591,Not Suspended,2024-01-11 12:24:44 PST,"535 N ALAMEDA STREET, LOS ANGELES, CA 90012",Western Region,Los Angeles,Central California,Male and Female
1652,FCI MANCHESTER,"1,099",Not Suspended,2024-01-11 12:24:59 PST,"805 FOX HOLLOW ROAD, MANCHESTER, KY 40962",Mid-Atlantic Region,Clay,Eastern Kentucky,Male
1653,FCI MARIANNA,"1,208",Not Suspended,2024-01-11 12:25:14 PST,"3625 FCI ROAD, MARIANNA, FL 32446",Southeast Region,Jackson,Northern Florida,Male and Female
1654,USP MARION,"1,309",Not Suspended,2024-01-11 12:25:30 PST,"4500 PRISON ROAD, MARION, IL 62959",North Central Region,Williamson,Southern Illinois,Male
1655,USP MCCREARY,"1,574",Suspended,2024-01-11 12:25:45 PST,"330 FEDERAL WAY, PINE KNOT, KY 42635",Mid-Atlantic Region,McCreary,Eastern Kentucky,Male
1656,FCI MCDOWELL,"1,530",Suspended,2024-01-11 12:26:01 PST,"101 FEDERAL DRIVE, WELCH, WV 24801",Mid-Atlantic Region,MCDOWELL,Southern West Virginia,Male
1657,FCI MCKEAN,"1,134",Not Suspended,2024-01-11 12:26:17 PST,"6975 ROUTE 59, LEWIS RUN, PA 16738",Northeast Region,MCKEAN,Western Pennsylvania,Male
1658,FCI MEMPHIS,"1,080",Not Suspended,2024-01-11 12:26:33 PST,"1101 JOHN A DENIE ROAD, MEMPHIS, TN 38134",Mid-Atlantic Region,SHELBY,Western Tennessee,Male
1659,FCI MENDOTA,"1,072",Suspended,2024-01-11 12:26:48 PST,"33500 WEST CALIFORNIA AVENUE, MENDOTA, CA 93640",Western Region,FRESNO,Eastern District of California,Male
1660,FCI MIAMI,978,Not Suspended,2024-01-11 12:27:04 PST,"15801 S.W. 137TH AVENUE, MIAMI, FL 33177",Southeast Region,Miami-Dade,Southern Florida,Male
1661,FDC MIAMI,937,Not Suspended,2024-01-11 12:27:20 PST,"33 NE 4TH STREET, MIAMI, FL 33132",Southeast Region,Miami-Dade,Southern Florida,Male and Female
1662,FCI MILAN,"1,538",Not Suspended,2024-01-11 12:27:36 PST,"4004 EAST ARKONA ROAD, MILAN, MI 48160",North Central Region,WASHTENAW,Eastern Michigan,Male
1663,FPC MONTGOMERY,598,Not Suspended,2024-01-11 12:27:52 PST,"MAXWELL AIR FORCE BASE, MONTGOMERY, AL 36112",Southeast Region,MONTGOMERY,Middle Alabama,Male
1664,FCI MORGANTOWN,436,Not Suspended,2024-01-11 12:28:07 PST,"446 GREENBAG ROAD, ROUTE 857, MORGANTOWN, WV 26501",Mid-Atlantic Region,Monongalia,Northern West Virginia,Male
1665,MCC NEW YORK,0,Suspended,2024-01-11 12:28:23 PST,"150 PARK ROW, NEW YORK, NY 10007",Northeast Region,New York,Southern New York,Male
1666,FCI OAKDALE II,"1,155",Not Suspended,2024-01-11 12:28:38 PST,"2105 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
1667,FCI OAKDALE I,822,Not Suspended,2024-01-11 12:28:54 PST,"1507 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
1668,FTC OKLAHOMA CITY,"1,297",Not Suspended,2024-01-11 12:29:10 PST,"7410 S. MACARTHUR BLVD, OKLAHOMA CITY, OK 73169",South Central Region,OKLAHOMA,Western Oklahoma,Male and Female
1669,FCI OTISVILLE,"1,081",Not Suspended,2024-01-11 12:29:26 PST,"TWO MILE DRIVE, OTISVILLE, NY 10963",Northeast Region,ORANGE,Southern New York,Male
1670,FCI OXFORD,979,Not Suspended,2024-01-11 12:29:42 PST,"COUNTY ROAD G & ELK AVENUE, OXFORD, WI 53952",North Central Region,ADAMS,Western Wisconsin,Male
1671,FCI PEKIN,"1,291",Not Suspended,2024-01-11 12:29:58 PST,"2600 S. SECOND ST., PEKIN, IL 61554",North Central Region,TAZEWELL,Central Illinois,Male and Female
1672,FPC PENSACOLA,483,Not Suspended,2024-01-11 12:30:14 PST,"110 RABY AVE, PENSACOLA, FL 32509",Southeast Region,ESCAMBIA,Northern Florida,Male
1673,FCI PETERSBURG MEDIUM,"1,660",Not Suspended,2024-01-11 12:30:29 PST,"1060 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
1674,FCI PETERSBURG LOW,682,Not Suspended,2024-01-11 12:30:45 PST,"1100 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
1675,FDC PHILADELPHIA,873,Not Suspended,2024-01-11 12:31:01 PST,"700 ARCH STREET, PHILADELPHIA, PA 19106",Northeast Region,Philadelphia,Eastern Pennsylvania,Male and Female
1676,FCI PHOENIX,"1,164",Not Suspended,2024-01-11 12:31:17 PST,"37900 N 45TH AVE, PHOENIX, AZ 85086",Western Region,Maricopa,Arizona,Male and Female
1677,FCI POLLOCK,"1,555",Not Suspended,2024-01-11 12:31:32 PST,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,GRANT,Western Louisiana,Male
1678,USP POLLOCK,"1,057",Not Suspended,2024-01-11 12:31:48 PST,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,Grant,Western Louisiana,Male
1679,FCI RAY BROOK,657,Suspended,2024-01-11 12:32:04 PST,"128 RAY BROOK ROAD, RAY BROOK, NY 12977",Northeast Region,Essex,Northern New York,Male
1680,FMC ROCHESTER,581,Not Suspended,2024-01-11 12:32:19 PST,"2110 EAST CENTER STREET, ROCHESTER, MN 55904",North Central Region,OLMSTED,Minnesota,Male
1681,FCI SAFFORD,648,Not Suspended,2024-01-11 12:32:35 PST,"1529 WEST HIGHWAY 366, SAFFORD, AZ 85546",Western Region,Graham,Arizona,Male
1682,MCC SAN DIEGO,699,Not Suspended,2024-01-11 12:32:51 PST,"808 UNION STREET, SAN DIEGO, CA 92101",Western Region,San Diego,Southern California,Male and Female
1683,FCI SANDSTONE,"1,121",Not Suspended,2024-01-11 12:33:06 PST,"2300 COUNTY RD 29, SANDSTONE, MN 55072",North Central Region,Pine,Minnesota,Male
1684,FCI SCHUYLKILL,997,Not Suspended,2024-01-11 12:33:22 PST,"INTERSTATE 81 & 901 W, MINERSVILLE, PA 17954",Northeast Region,SCHUYLKILL,Middle Pennsylvania,Male
1685,FCI SEAGOVILLE,"1,750",Not Suspended,2024-01-11 12:33:37 PST,"2113 NORTH HWY 175, SEAGOVILLE, TX 75159",South Central Region,Dallas,Northern Texas,Male
1686,FDC SEATAC,738,Not Suspended,2024-01-11 12:33:53 PST,"2425 SOUTH 200TH STREET, SEATTLE, WA 98198",Western Region,King,Western Washington,Male and Female
1687,FCI SHERIDAN,"1,640",Not Suspended,2024-01-11 12:34:08 PST,"27072 BALLSTON ROAD, SHERIDAN, OR 97378",Western Region,YAMHILL,Oregon,Male
1688,MCFP SPRINGFIELD,946,Not Suspended,2024-01-11 12:34:24 PST,"1900 W. SUNSHINE ST, SPRINGFIELD, MO 65807",North Central Region,GREENE,Western Missouri,Male
1689,FCI TALLADEGA,"1,131",Not Suspended,2024-01-11 12:34:41 PST,"565 EAST RENFROE ROAD, TALLADEGA, AL 35160",Southeast Region,Talladega,Northern Alabama,Male
1690,FCI TALLAHASSEE,972,Not Suspended,2024-01-11 12:34:57 PST,"501 CAPITAL CIRCLE, NE, TALLAHASSEE, FL 32301",Southeast Region,Leon,Northern Florida,Male and Female
1691,FCI TERMINAL ISLAND,940,Not Suspended,2024-01-11 12:35:12 PST,"1299 SEASIDE AVENUE, SAN PEDRO, CA 90731",Western Region,LOS ANGELES,Central California,Male
1692,FCI TERRE HAUTE,"1,485",Not Suspended,2024-01-11 12:35:28 PST,"4200 BUREAU ROAD NORTH, TERRE HAUTE, IN 47808",North Central Region,VIGO,Southern Indiana,Male
1693,USP TERRE HAUTE,"1,134",Not Suspended,2024-01-11 12:35:44 PST,"4700 BUREAU ROAD SOUTH, TERRE HAUTE, IN 47802",North Central Region,VIGO,Southern Indiana,Male
